Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
shelljs,https://github.com/arturadib/shelljs.git,311,59,33,63,2764,2778,2586396,Mon Aug 10 08:55:31 PDT 2015,Thu Mar 01 17:22:44 PST 2012
grunt-contrib-uglify,https://github.com/gruntjs/grunt-contrib-uglify.git,241,53,48,49,900,1022,739504,Sat May 23 15:08:56 PDT 2015,Wed Oct 03 07:20:51 PDT 2012
grunt-contrib-watch,https://github.com/gruntjs/grunt-contrib-watch.git,238,53,43,42,1758,1566,867140,Sat May 23 15:09:07 PDT 2015,Mon Sep 17 14:01:19 PDT 2012
node-fs-extra,https://github.com/jprichardson/node-fs-extra.git,606,46,23,79,4401,747,2457769,Sun Aug 09 08:04:29 PDT 2015,Wed Nov 16 13:47:40 PST 2011
node-xml2js,https://github.com/Leonidas-from-XIV/node-xml2js.git,278,44,43,3,521,1408,1799652,Thu Aug 06 11:16:32 PDT 2015,Sat Jul 17 02:04:32 PDT 2010
http-server,https://github.com/indexzero/http-server.git,217,43,41,2,247,2060,105346,Tue Aug 04 09:19:07 PDT 2015,Tue Jun 14 19:33:23 PDT 2011
gulp-inject,https://github.com/klei/gulp-inject.git,122,43,29,8,1279,315,92312,Mon Aug 10 01:24:23 PDT 2015,Tue Jan 07 06:12:27 PST 2014
wrench-js,https://github.com/ryanmcgrath/wrench-js.git,136,37,34,6,642,372,403107,Sat Mar 01 14:36:09 PST 2014,Fri Mar 05 23:46:03 PST 2010
debug,https://github.com/visionmedia/debug.git,259,37,39,8,565,2079,13706987,Sun May 10 00:21:15 PDT 2015,Mon Nov 28 17:08:27 PST 2011
co,https://github.com/tj/co.git,284,36,52,12,698,3449,552037,Thu Jul 09 15:29:44 PDT 2015,Wed Jun 05 20:41:38 PDT 2013
node.bcrypt.js,https://github.com/ncb000gt/node.bcrypt.js.git,304,35,36,6,507,1529,143774,Fri Jul 24 09:47:55 PDT 2015,Mon Apr 12 22:32:04 PDT 2010
event-stream,https://github.com/dominictarr/event-stream.git,285,33,28,16,1008,978,1452123,Tue May 05 19:58:09 PDT 2015,Fri Aug 19 18:38:02 PDT 2011
gulp-sass,https://github.com/dlmanning/gulp-sass.git,214,32,35,3,558,477,293499,Thu Jul 30 08:11:04 PDT 2015,Sat Aug 31 14:01:20 PDT 2013
node-optimist,https://github.com/substack/node-optimist.git,185,32,16,23,1188,2107,6759061,Wed Feb 05 08:00:02 PST 2014,Thu Sep 09 21:59:20 PDT 2010
gulp-util,https://github.com/wearefractal/gulp-util.git,201,32,33,27,722,380,2012211,Tue Jun 23 13:43:44 PDT 2015,Fri Sep 02 01:27:46 PDT 2011
grunt-contrib-jshint,https://github.com/gruntjs/grunt-contrib-jshint.git,155,31,39,7,409,586,773573,Wed May 20 14:00:51 PDT 2015,Wed Oct 03 07:30:50 PDT 2012
node-clone,https://github.com/pvorb/node-clone.git,161,31,23,2,392,173,4463019,Tue May 05 11:58:07 PDT 2015,Fri Sep 02 18:47:34 PDT 2011
gulp-watch,https://github.com/floatdrop/gulp-watch.git,233,30,25,11,389,306,173627,Sun Jul 26 00:30:21 PDT 2015,Sat Jan 18 08:29:41 PST 2014
node-uuid,https://github.com/broofa/node-uuid.git,222,29,26,4,410,2083,5011223,Thu May 28 05:41:32 PDT 2015,Tue Dec 28 11:06:46 PST 2010
gulp-notify,https://github.com/mikaelbr/gulp-notify.git,191,29,11,8,1089,288,132836,Sat Aug 08 09:27:17 PDT 2015,Wed Jan 08 09:48:57 PST 2014
promise,https://github.com/then/promise.git,169,29,23,17,1020,807,1603515,Tue Aug 04 01:50:55 PDT 2015,Sun Dec 23 11:49:08 PST 2012
ncp,https://github.com/AvianFlu/ncp.git,120,26,22,2,401,174,3085169,Sun Feb 22 13:12:22 PST 2015,Wed Aug 24 17:37:08 PDT 2011
qs,https://github.com/hapijs/qs.git,210,26,25,8,1271,283,12914128,Thu Jul 30 09:14:00 PDT 2015,Fri Jul 25 11:35:14 PDT 2014
colors.js,https://github.com/Marak/colors.js.git,126,26,27,17,621,1626,5560107,Wed Jun 17 06:42:07 PDT 2015,Thu Jun 10 23:56:25 PDT 2010
node-semver,https://github.com/npm/node-semver.git,202,26,35,7,1974,855,6878695,Mon Jul 13 13:02:16 PDT 2015,Fri Feb 11 15:41:41 PST 2011
npm-check-updates,https://github.com/tjunnone/npm-check-updates.git,242,26,15,6,1251,692,21589,Mon Aug 10 14:50:38 PDT 2015,Fri Sep 06 18:36:04 PDT 2013
gulp-minify-css,https://github.com/murphydanger/gulp-minify-css.git,149,22,24,2,245,264,316234,Sat Aug 08 03:15:46 PDT 2015,Fri Jul 26 19:05:43 PDT 2013
readable-stream,https://github.com/nodejs/readable-stream.git,218,21,18,103,8295,314,15994737,Thu Jul 16 07:30:16 PDT 2015,Wed Jul 25 20:02:50 PDT 2012
gulp-sourcemaps,https://github.com/floridoo/gulp-sourcemaps.git,99,20,14,7,773,364,332339,Thu Apr 16 04:41:24 PDT 2015,Sun Mar 02 10:22:20 PST 2014
gulp-jshint,https://github.com/spalger/gulp-jshint.git,169,19,34,26,936,240,382611,Wed Jul 01 22:43:48 PDT 2015,Thu Aug 08 13:27:21 PDT 2013
body-parser,https://github.com/expressjs/body-parser.git,247,18,10,12,2277,589,2284329,Fri Jul 31 12:00:07 PDT 2015,Mon Jan 06 00:24:57 PST 2014
cli-color,https://github.com/medikoo/cli-color.git,181,18,8,35,963,317,1547184,Mon Jun 08 06:12:42 PDT 2015,Mon Jul 11 08:07:26 PDT 2011
gulp-uglify,https://github.com/terinjokes/gulp-uglify.git,90,18,11,10,493,344,483929,Thu Apr 16 10:29:55 PDT 2015,Thu Jul 04 17:27:51 PDT 2013
morgan,https://github.com/expressjs/morgan.git,177,17,8,2,1306,683,1611089,Mon Aug 10 08:14:34 PDT 2015,Sat Feb 08 11:19:03 PST 2014
gulp-rename,https://github.com/hparra/gulp-rename.git,71,17,15,5,383,218,639834,Tue May 19 02:54:40 PDT 2015,Wed Dec 04 03:08:11 PST 2013
rimraf,https://github.com/isaacs/rimraf.git,126,17,15,4,424,487,8445591,Sun Jul 19 14:44:03 PDT 2015,Tue Feb 08 00:07:07 PST 2011
gulp-concat,https://github.com/wearefractal/gulp-concat.git,113,17,28,5,240,303,623675,Tue Jun 23 13:43:59 PDT 2015,Fri Jul 05 23:33:43 PDT 2013
node-extend,https://github.com/justmoon/node-extend.git,151,16,13,2,630,94,4154700,Fri Aug 07 22:36:16 PDT 2015,Sun Apr 08 16:58:43 PDT 2012
gulp-imagemin,https://github.com/sindresorhus/gulp-imagemin.git,89,16,13,2,125,458,109490,Sat Jun 20 18:06:56 PDT 2015,Mon Dec 30 09:52:45 PST 2013
chalk,https://github.com/chalk/chalk.git,123,15,13,3,223,2272,9190379,Thu Jul 16 13:34:28 PDT 2015,Fri Aug 02 17:16:26 PDT 2013
minimatch,https://github.com/isaacs/minimatch.git,155,14,14,8,1126,650,16599468,Wed Jul 22 18:50:35 PDT 2015,Fri Jul 15 19:32:21 PDT 2011
concat-stream,https://github.com/maxogden/concat-stream.git,94,14,17,9,335,260,2505312,Tue Jun 16 21:35:49 PDT 2015,Thu Aug 02 18:42:50 PDT 2012
node-mime,https://github.com/broofa/node-mime.git,157,13,36,4,97,577,7382228,Fri Feb 06 16:00:52 PST 2015,Wed Feb 24 17:06:15 PST 2010
through,https://github.com/dominictarr/through.git,95,9,12,6,306,457,4580841,Fri Jul 03 06:38:16 PDT 2015,Wed Jul 04 06:49:53 PDT 2012
through2,https://github.com/rvagg/through2.git,88,7,10,5,430,522,6960046,Thu Jun 11 17:17:22 PDT 2015,Wed Jul 31 21:46:24 PDT 2013
object-assign,https://github.com/sindresorhus/object-assign.git,39,7,6,2,99,238,7247892,Thu Jun 04 07:08:57 PDT 2015,Sun Feb 02 07:45:41 PST 2014
node-mkdirp,https://github.com/substack/node-mkdirp.git,80,7,9,18,498,655,12796759,Wed May 13 19:31:42 PDT 2015,Wed Jan 05 18:49:15 PST 2011
ember-cli-babel,https://github.com/babel/ember-cli-babel.git,67,6,10,11,182,44,200199,Sat Jul 25 08:46:09 PDT 2015,Tue Dec 16 08:44:22 PST 2014
cookie-parser,https://github.com/expressjs/cookie-parser.git,68,6,7,3,186,220,1451959,Tue May 19 18:34:57 PDT 2015,Sat Feb 15 08:22:10 PST 2014
nopt,https://github.com/isaacs/nopt.git,53,6,8,4,630,312,6773437,Sat Jun 13 09:43:30 PDT 2015,Tue Mar 29 19:32:09 PDT 2011
node-open,https://github.com/pwnall/node-open.git,35,6,7,2,69,179,681681,Thu Jul 10 06:47:03 PDT 2014,Sat Apr 14 09:48:17 PDT 2012
gulp-livereload,https://github.com/vohof/gulp-livereload.git,45,6,6,10,324,430,134058,Tue Feb 24 05:47:08 PST 2015,Sun Dec 14 18:54:12 PST 2014
yosay,https://github.com/yeoman/yosay.git,49,6,7,3,216,72,134232,Thu Jul 16 15:18:23 PDT 2015,Fri May 09 06:57:42 PDT 2014
gulp-load-plugins,https://github.com/jackfranklin/gulp-load-plugins.git,100,5,16,4,265,397,209842,Mon Jun 08 08:39:23 PDT 2015,Tue Dec 03 16:37:14 PST 2013
passport,https://github.com/jaredhanson/passport.git,410,5,21,33,6134,5884,417466,Thu May 21 12:35:07 PDT 2015,Sat Oct 08 15:40:46 PDT 2011
gulp-autoprefixer,https://github.com/sindresorhus/gulp-autoprefixer.git,26,5,4,2,123,236,257394,Wed Jun 03 04:44:08 PDT 2015,Mon Sep 08 08:47:45 PDT 2014
minimist,https://github.com/substack/minimist.git,61,5,12,15,860,957,16843570,Thu Aug 06 16:08:52 PDT 2015,Mon Jun 24 23:30:03 PDT 2013
node-pkginfo,https://github.com/indexzero/node-pkginfo.git,34,3,7,8,181,83,2314951,Mon Nov 03 10:11:50 PST 2014,Fri Jun 03 17:43:36 PDT 2011
xtend,https://github.com/Raynos/xtend.git,57,3,11,3,73,158,7741092,Thu May 21 12:59:57 PDT 2015,Wed May 23 04:27:34 PDT 2012
grunt-cli,https://github.com/gruntjs/grunt-cli.git,58,1,16,4,77,464,842858,Wed May 20 16:53:19 PDT 2015,Thu Nov 01 11:40:39 PDT 2012
path,https://github.com/jinder/path.git,4,1,1,1,329,9,308526,Wed Jan 07 02:33:40 PST 2015,Wed Jan 07 01:53:04 PST 2015
inherits,https://github.com/isaacs/inherits.git,11,0,2,3,41,171,15865568,Mon Aug 19 15:10:15 PDT 2013,Wed Apr 06 17:29:30 PDT 2011
